rainfall_1h,rainfall_24h,rainfall_72h,slope_angle,soil_moisture_proxy,historical_landslide_count,landslide_occurred
1.67,118.1,211.71,36.0,31.0,7,1
3.69,17.76,35.35,30.9,30.5,9,0
14.24,83.03,173.08,37.2,45.5,5,0
12.34,75.34,158.07,44.2,43.6,9,0
7.61,49.6,68.07,30.1,30.1,6,0
0.15,32.75,68.2,30.1,21.3,7,0
2.51,54.64,162.08,44.6,36.0,6,0
6.88,79.69,169.26,38.1,29.7,7,0
0.83,7.73,26.38,28.2,18.3,6,0
9.69,44.99,76.84,36.3,22.1,6,0
14.76,38.16,113.5,28.3,28.2,14,0
2.62,13.91,54.73,28.3,26.3,10,0
7.34,39.92,91.6,33.9,26.9,5,0
0.96,35.28,109.17,16.7,28.5,5,0
7.04,38.51,131.32,18.2,31.7,8,0
0.13,35.95,99.28,27.5,37.4,7,0
0.98,20.91,55.44,23.9,36.4,7,0
7.42,41.46,110.28,34.5,28.8,2,0
7.47,27.64,152.14,24.7,36.9,4,0
6.15,54.76,116.99,20.7,27.5,7,0
48.44,204.7,293.93,43.7,53.2,3,1
6.74,33.33,84.02,30.2,26.0,4,0
51.44,235.72,412.18,32.5,57.7,10,1
20.37,73.95,162.27,20.6,46.2,8,0
13.17,89.89,189.0,27.6,32.1,5,0
9.49,74.91,150.73,32.9,22.8,8,0
7.12,45.86,188.67,22.8,42.5,4,0
5.12,26.53,93.47,35.0,27.5,3,0
0.77,7.81,108.05,27.2,27.6,8,0
1.09,4.72,68.22,29.7,40.5,9,0
10.3,30.3,70.01,27.2,30.7,9,0
44.08,159.72,316.27,46.8,51.3,8,1
45.01,147.3,266.17,31.9,43.1,7,1
29.69,110.35,204.6,23.5,42.7,8,0
0.16,11.79,37.04,38.6,15.0,12,0
2.38,23.05,65.42,22.2,24.0,6,0
3.27,36.34,145.71,33.7,34.4,7,0
3.99,38.44,76.87,16.3,28.8,2,0
15.9,95.73,164.61,21.4,35.7,5,0
0.69,10.38,46.65,33.6,21.2,8,0
4.39,59.54,198.47,37.9,44.4,6,0
2.75,71.46,211.78,33.4,32.9,9,0
27.69,105.61,222.89,31.1,40.9,5,0
11.88,44.22,87.85,29.6,26.2,6,0
3.47,71.49,150.87,20.2,40.1,8,0
48.58,268.24,600.0,26.2,77.7,3,1
4.33,12.81,49.69,28.3,27.2,9,0
1.1,4.85,54.27,40.5,27.1,3,0
4.87,63.68,114.72,34.7,22.3,10,0
1.54,14.64,23.12,17.9,22.0,6,0
6.07,78.94,197.0,34.6,31.0,8,0
16.63,74.9,225.82,28.9,44.3,7,0
9.26,82.66,296.19,26.6,46.0,4,0
1.91,9.69,79.2,36.9,33.9,6,0
2.11,16.28,52.68,40.2,24.4,11,0
0.43,91.57,207.15,39.5,36.9,5,0
2.02,14.08,81.33,25.3,34.1,6,0
0.58,5.59,11.89,29.5,16.8,8,0
4.15,66.87,248.5,34.7,49.3,6,0
7.39,26.0,82.87,39.8,30.6,7,0
8.35,26.87,141.47,28.2,32.3,8,0
0.37,11.35,75.15,30.5,20.8,5,0
2.49,32.19,69.08,23.1,33.1,7,0
2.04,38.91,59.85,22.4,28.5,7,0
0.66,55.31,107.86,38.5,26.9,8,0
2.7,29.28,67.24,42.8,27.9,10,0
28.43,118.61,276.57,31.4,52.7,9,0
6.04,31.25,77.65,40.0,28.3,6,0
12.89,104.27,167.62,34.9,38.0,6,0
3.64,42.23,74.88,26.8,32.6,10,0
8.24,86.0,316.75,34.9,59.4,8,0
0.95,86.31,207.04,44.3,40.1,7,0
13.52,59.79,156.64,31.7,29.0,3,0
0.99,22.15,37.85,44.5,17.3,7,0
1.28,28.43,118.33,12.0,28.4,6,0
0.68,7.44,21.26,38.6,17.5,2,0
2.22,8.78,58.91,32.7,17.5,6,0
4.82,65.94,176.68,29.6,46.9,4,0
26.53,109.21,247.32,32.7,47.4,7,1
9.46,48.89,110.53,16.1,28.4,3,0
2.87,27.99,41.65,30.2,24.0,4,0
5.15,49.55,170.87,34.9,28.2,7,0
5.86,20.53,51.9,43.8,31.0,7,0
10.38,53.86,125.62,27.9,22.8,10,0
36.32,137.17,320.14,25.5,54.6,10,1
5.05,75.76,107.48,28.0,21.6,8,0
6.64,43.27,74.83,39.3,25.4,10,0
8.22,92.14,176.97,34.6,43.9,8,0
0.86,14.62,41.94,27.8,16.0,10,0
1.34,90.77,205.47,36.1,39.8,5,1
7.0,83.01,196.96,32.8,42.8,6,0
11.4,58.65,161.01,39.7,38.4,7,0
3.16,23.01,122.93,26.4,32.6,9,0
23.44,78.26,107.23,29.4,33.2,4,0
1.46,43.08,125.32,28.9,29.5,5,0
3.23,30.85,152.83,20.3,44.9,6,0
2.85,21.83,87.19,34.4,20.7,6,0
15.98,80.91,325.68,34.1,58.4,10,0
2.02,40.47,98.79,32.0,30.8,7,0
3.82,14.4,85.92,30.1,31.7,13,0
1.24,5.72,48.22,20.7,28.8,7,0
4.42,17.26,44.01,28.6,27.2,8,0
56.87,253.76,473.59,29.3,63.3,7,1
2.17,23.15,74.08,25.6,26.0,6,0
9.99,77.47,140.7,30.7,26.8,11,0
69.77,265.08,417.46,35.2,60.3,12,1
0.45,1.68,47.19,47.1,26.3,6,0
8.47,41.09,133.91,33.4,36.4,9,0
1.77,147.63,304.52,34.1,52.4,12,1
1.16,14.75,46.86,31.4,15.9,7,0
5.51,103.12,163.17,16.6,33.5,5,0
7.34,27.77,57.18,31.8,22.4,10,0
3.01,13.04,89.65,32.5,22.4,8,0
0.24,33.01,137.61,51.7,29.6,10,0
14.36,57.97,118.24,30.5,31.8,5,0
7.87,67.73,325.32,34.4,59.6,0,0
36.01,151.81,371.02,31.7,52.3,5,1
4.12,21.51,49.92,22.7,19.3,9,0
26.36,131.15,208.54,41.1,37.9,3,1
2.49,30.74,57.02,38.0,27.4,4,0
4.44,61.19,115.36,38.3,37.7,6,0
4.37,29.9,98.18,24.7,29.4,11,0
1.4,4.98,13.77,43.2,15.0,2,0
9.0,54.41,173.82,20.8,31.2,3,0
2.13,88.32,145.59,36.7,35.5,4,0
5.21,16.83,76.44,49.5,32.6,8,0
1.9,13.48,21.4,24.1,31.2,5,0
3.32,23.97,55.48,27.5,19.6,4,0
1.4,41.1,108.92,32.8,31.6,8,0
6.01,36.79,140.31,28.0,28.9,8,0
3.33,16.19,96.36,19.6,25.1,6,0
0.1,26.52,94.63,32.5,24.5,7,0
49.97,191.35,328.04,23.5,51.1,3,1
3.82,20.9,38.1,35.8,19.4,5,0
1.21,16.37,107.1,24.6,43.1,8,0
5.28,27.14,58.1,44.4,23.5,8,0
3.15,19.36,83.07,25.7,33.2,7,0
6.38,30.71,88.19,29.4,25.5,5,0
18.27,72.45,122.81,38.5,43.4,7,0
4.51,59.49,114.92,22.2,33.2,6,0
9.29,42.05,173.4,33.8,41.5,4,0
8.39,45.16,133.03,42.5,30.3,3,0
15.29,51.76,174.08,19.1,42.3,6,0
1.44,7.14,30.94,33.5,24.8,9,0
10.54,97.16,212.85,34.1,39.4,8,0
14.16,56.37,317.98,38.3,46.4,10,0
2.99,23.74,47.53,22.1,23.6,13,0
2.26,59.28,106.25,21.4,29.0,9,0
18.22,101.59,156.48,36.2,40.0,12,1
5.93,58.83,146.48,34.4,33.5,3,0
2.87,37.4,94.71,34.0,19.9,6,0
9.42,26.84,124.45,34.8,35.7,10,0
2.18,86.29,295.93,26.6,56.1,8,0
1.16,62.98,135.91,33.9,25.3,8,0
4.71,27.0,60.96,34.3,35.1,5,0
5.01,62.82,133.24,26.3,40.3,8,0
10.48,54.79,114.64,46.9,28.3,11,0
3.66,43.27,221.49,35.8,36.6,8,0
10.11,34.67,65.26,22.5,31.8,6,0
2.24,25.26,43.39,37.3,17.5,7,0
5.14,24.48,84.86,24.2,25.1,5,0
1.4,24.28,94.97,38.3,22.9,7,0
2.92,18.26,47.37,41.3,24.8,4,0
11.69,62.52,134.45,25.4,40.8,5,0
1.46,32.41,75.72,39.7,29.4,3,0
9.97,80.22,182.28,35.3,43.3,5,0
2.0,12.68,30.27,38.6,21.3,6,0
0.21,56.65,143.34,47.2,34.8,12,0
0.7,15.26,28.53,30.0,16.7,7,0
8.22,74.16,123.9,26.0,31.9,4,0
56.76,184.5,395.55,24.9,55.8,7,1
6.37,67.66,90.96,25.5,28.3,9,0
7.21,55.92,165.16,31.4,35.4,9,0
2.54,27.04,80.05,34.7,26.4,5,0
33.7,120.89,160.19,34.2,46.6,4,1
3.1,97.58,290.1,38.6,57.8,5,1
